Tidpunkt;Datum;Tid;Latency;Down;Up;Node
2021-05-11 18:00;2021-05-11;18:00:01;77,085;1,35915;1,6844;svl407f8738b
2021-05-11 18:10;2021-05-11;18:10:01;88,2551;1,72433;2,01661;svl4075833e5
2021-05-11 18:20;2021-05-11;18:20:01;180,283;0,589414;1,09913;svl40765ac6e
2021-05-11 18:30;2021-05-11;18:30:01;52,5962;4,42974;2,75975;svl20ad8c769
2021-05-11 18:40;2021-05-11;18:40:01;49,263;2,67949;2,03717;svl407a5d36b
2021-05-11 18:50;2021-05-11;18:50:01;60,6956;0,913654;1,80319;svl20a7976f6
2021-05-11 19:00;2021-05-11;19:00:01;48,2611;2,18641;2,60262;svl4077202b8
2021-05-11 19:10;2021-05-11;19:10:01;168,554;2,38499;1,42364;svl20ab83d79
2021-05-11 19:20;2021-05-11;19:20:01;55,4195;0,732082;1,93334;svl20a8fa07f
2021-05-11 19:30;2021-05-11;19:30:01;96,9993;1,5259;1,77334;svl40795c847
2021-05-11 19:40;2021-05-11;19:40:01;146,379;0,864355;1,66153;svl20abbd6a1
2021-05-11 19:50;2021-05-11;19:50:01;97,096;1,40785;2,07761;svl40740cab5
2021-05-11 20:00;2021-05-11;20:00:01;222,861;0,333143;0,709611;svl20a93ae68
2021-05-11 20:10;2021-05-11;20:10:01;50,2699;0,45956;2,66182;svl407e7df4a
2021-05-11 20:20;2021-05-11;20:20:02;56,8646;1,13315;0,63188;svl4075d4692
2021-05-11 20:30;2021-05-11;20:30:01;670,406;0,382788;0,371659;svl407a3d5e7
2021-05-11 20:40;2021-05-11;20:40:01;302,383;1,27093;0,694084;svl20a39d45e
2021-05-11 20:50;2021-05-11;20:50:01;207,864;0,488624;0,956096;svl407532cc5
2021-05-11 21:00;2021-05-11;21:00:01;179,136;0,619613;0,618222;svl407cb1bde
2021-05-11 21:10;2021-05-11;21:10:01;103,999;1,17076;1,03185;svl20a33607c
2021-05-11 21:20;2021-05-11;21:20:01;76,6839;1,92517;1,76307;svl20a4bcfe1
2021-05-11 21:30;2021-05-11;21:30:01;194,244;0,819892;1,47847;svl20af489d2
2021-05-11 21:40;2021-05-11;21:40:01;50,2809;3,02378;2,38937;svl407db9a69
2021-05-11 21:50;2021-05-11;21:50:01;181,162;1,28117;2,0472;svl20a4b9e07
2021-05-11 22:00;2021-05-11;22:00:01;125,133;1,73925;2,50266;svl20a34592c
2021-05-11 22:10;2021-05-11;22:10:01;188,559;3,27436;2,24682;svl407f5ef17
2021-05-11 22:20;2021-05-11;22:20:01;50,8299;3,86512;1,81573;svl40795f6c4
2021-05-11 22:30;2021-05-11;22:30:01;49,9818;5,1741;1,74527;svl407ca83a6
2021-05-11 22:40;2021-05-11;22:40:01;50,4154;6,32437;3,09404;svl407c5f5ef
2021-05-11 22:50;2021-05-11;22:50:01;55,435;5,3436;1,98377;svl4076b7887
2021-05-11 23:00;2021-05-11;23:00:01;53,1286;3,27851;2,35259;svl4070c19a4
2021-05-11 23:10;2021-05-11;23:10:01;51,1289;5,94867;2,78132;svl407c6a17b
2021-05-11 23:20;2021-05-11;23:20:02;50,6954;2,44876;2,20433;svl2085730b6
2021-05-11 23:30;2021-05-11;23:30:02;51,9957;5,05295;2,57348;svl40765ec5e
2021-05-11 23:40;2021-05-11;23:40:01;55,1455;5,47134;2,30293;svl407f3a88a
2021-05-11 23:50;2021-05-11;23:50:01;48,7036;5,20477;3,28931;svl40727e6d6
;2021-05-11 Average;;;4,461929771;;
2021-05-12 00:00;2021-05-12;00:00:01;50,4366;5,74815;2,28128;svl2083d02f5
2021-05-12 00:10;2021-05-12;00:10:01;51,3971;5,08359;3,13073;svl4078df41b
2021-05-12 00:20;2021-05-12;00:20:01;53,6645;4,27274;2,51737;svl407745111
2021-05-12 00:30;2021-05-12;00:30:01;49,0049;3,10219;3,05649;svl208d700ee
2021-05-12 00:40;2021-05-12;00:40:01;50,2505;6,57101;2,77733;svl208a9b528
2021-05-12 00:50;2021-05-12;00:50:01;52,8377;6,20942;3,14911;svl208db8cd6
2021-05-12 01:00;2021-05-12;01:00:01;49,1501;9,31247;3,83475;svl20824ca6a
2021-05-12 01:10;2021-05-12;01:10:01;50,8513;1,40955;2,11127;svl40762c687
2021-05-12 01:20;2021-05-12;01:20:01;54,2619;6,06507;2,77792;svl20821a00b
2021-05-12 01:30;2021-05-12;01:30:01;51,9869;5,16491;2,86286;svl208a97bef
2021-05-12 01:40;2021-05-12;01:40:01;52,9719;4,78872;1,99538;svl40739beb8
2021-05-12 01:50;2021-05-12;01:50:01;49,9882;5,84475;2,48893;svl2084ffb46
2021-05-12 02:00;2021-05-12;02:00:01;49,948;7,01234;2,53732;svl2086bd310
2021-05-12 02:10;2021-05-12;02:10:01;55,6549;5,51476;2,71794;svl2086fef63
2021-05-12 02:20;2021-05-12;02:20:01;49,4122;5,22626;2,60159;svl407beee65
2021-05-12 02:30;2021-05-12;02:30:01;48,5683;5,65381;2,63036;svl208c8c342
2021-05-12 02:40;2021-05-12;02:40:01;49,2743;5,69825;2,13022;svl208dfb81d
2021-05-12 02:50;2021-05-12;02:50:01;50,5467;5,3682;2,69872;svl20809d66a
2021-05-12 03:00;2021-05-12;03:00:02;52,8343;5,91658;2,73437;svl208749006
2021-05-12 03:10;2021-05-12;03:10:01;55,6882;6,5068;2,84594;svl407e9fc01
2021-05-12 03:20;2021-05-12;03:20:01;63,7953;3,61059;2,54332;svl4075d10cd
2021-05-12 03:30;2021-05-12;03:30:02;49,9826;2,98045;2,42876;svl407367ebe
2021-05-12 03:40;2021-05-12;03:40:01;57,3742;5,55411;2,30973;svl2084bdcef
2021-05-12 03:50;2021-05-12;03:50:01;52,5656;6,38136;2,0444;svl40737142b
2021-05-12 04:00;2021-05-12;04:00:01;49,9891;6,22658;2,83967;svl2089beac3
2021-05-12 04:10;2021-05-12;04:10:01;50,5696;4,78103;2,61899;svl2080af657
2021-05-12 04:20;2021-05-12;04:20:01;51,721;5,34444;2,71987;svl208d25518
2021-05-12 04:30;2021-05-12;04:30:01;54,5557;3,18046;2,54828;svl208fd51ca
2021-05-12 04:40;2021-05-12;04:40:01;50,1247;5,83192;2,76134;svl208e61d65
2021-05-12 04:50;2021-05-12;04:50:01;55,9558;5,29612;2,63363;svl407832d53
2021-05-12 05:00;2021-05-12;05:00:01;50,5823;5,95051;2,87442;svl20823d702
2021-05-12 05:10;2021-05-12;05:10:01;50,2379;4,62069;2,87125;svl40781ec10
2021-05-12 05:20;2021-05-12;05:20:01;53,9178;5,26823;2,69099;svl4073eb069
2021-05-12 05:30;2021-05-12;05:30:01;50,5388;5,84862;3,25171;svl20895f6d5
2021-05-12 05:40;2021-05-12;05:40:01;52,835;6,38133;2,64748;svl407f78cb0
2021-05-12 05:50;2021-05-12;05:50:01;49,8257;5,38914;2,90576;svl2086e18bc
2021-05-12 06:00;2021-05-12;06:00:01;49,9809;4,99383;3,08938;svl2080d8456
2021-05-12 06:10;2021-05-12;06:10:01;48,8215;4,9518;2,18845;svl4072b914c
2021-05-12 06:20;2021-05-12;06:20:01;52,4063;3,52669;2,15061;svl4073a467c
2021-05-12 06:30;2021-05-12;06:30:01;109,718;3,07296;1,59456;svl4070b9e57
2021-05-12 06:40;2021-05-12;06:40:01;52,1273;5,72604;2,97164;svl4079989a9
2021-05-12 06:50;2021-05-12;06:50:01;56,8544;5,82291;3,15537;svl208add79b
2021-05-12 07:00;2021-05-12;07:00:01;52,8474;6,33394;2,5659;svl407344468
2021-05-12 07:10;2021-05-12;07:10:01;51,4314;6,85199;3,16012;svl208859c32
2021-05-12 07:20;2021-05-12;07:20:01;53,9743;2,60796;2,53431;svl407ab9a1c
2021-05-12 07:30;2021-05-12;07:30:01;55,8518;0,668831;2,28362;svl208733ae4
2021-05-12 07:40;2021-05-12;07:40:01;55,1319;5,36488;2,37724;svl208a289a1
2021-05-12 07:50;2021-05-12;07:50:01;52,4044;5,34701;2,80851;svl407599f37
2021-05-12 08:00;2021-05-12;08:00:01;52,4194;3,97808;2,19853;svl2087c068a
2021-05-12 08:10;2021-05-12;08:10:01;55,9729;1,39327;2,38962;svl2083da3f4
2021-05-12 08:20;2021-05-12;08:20:01;53,9742;2,90631;2,56758;svl4079880cc
2021-05-12 08:30;2021-05-12;08:30:01;52,111;2,39788;1,66263;svl407deb07c
2021-05-12 08:40;2021-05-12;08:40:01;53,5275;4,3841;2,26131;svl407357321
2021-05-12 08:50;2021-05-12;08:50:01;51,9692;3,46735;0,604604;svl4071541da
2021-05-12 09:00;2021-05-12;09:00:01;52,2742;3,17027;1,69969;svl2088783b2
2021-05-12 09:10;2021-05-12;09:10:01;52,4088;0,819339;1,99074;svl40744aac4
2021-05-12 09:20;2021-05-12;09:20:01;50,0037;3,60582;1,35878;svl40716d2a2
2021-05-12 09:30;2021-05-12;09:30:02;49,0935;3,34909;1,60186;svl208c92848
2021-05-12 09:40;2021-05-12;09:40:01;50,5978;0,916282;1,42849;svl4074261a4
2021-05-12 09:50;2021-05-12;09:50:01;50,8261;2,37148;1,90425;svl208a12304
2021-05-12 10:00;2021-05-12;10:00:01;53,1301;3,38119;1,5743;svl20894c595
2021-05-12 10:10;2021-05-12;10:10:01;48,448;4,39197;1,01492;svl4072f933e
2021-05-12 10:20;2021-05-12;10:20:01;51,4104;3,53974;2,70396;svl407f3a431
2021-05-12 10:30;2021-05-12;10:30:01;52,7166;3,01603;3,9354;svl407afa25a
2021-05-12 10:40;2021-05-12;10:40:01;54,2451;4,38303;1,95682;svl2081308e7
2021-05-12 10:50;2021-05-12;10:50:01;49,9766;4,23772;2,6626;svl208f0d097
2021-05-12 11:00;2021-05-12;11:00:02;57,1473;2,5567;2,11751;svl208f38fc1
2021-05-12 11:10;2021-05-12;11:10:01;53,1413;6,34327;2,48758;svl407e9a6c3
2021-05-12 11:20;2021-05-12;11:20:01;52,7079;4,75207;2,54674;svl208a8e193
2021-05-12 11:30;2021-05-12;11:30:01;48,2624;4,56991;2,8933;svl208a34d90
2021-05-12 11:40;2021-05-12;11:40:01;48,4357;4,52174;2,41154;svl40763b126
2021-05-12 11:50;2021-05-12;11:50:01;50,2719;4,77402;2,31228;svl407c81f09
2021-05-12 12:00;2021-05-12;12:00:01;53,8024;5,54662;2,41259;svl407538c56
2021-05-12 12:10;2021-05-12;12:10:01;49,1124;4,22938;2,14603;svl20883c270
2021-05-12 12:20;2021-05-12;12:20:01;48,1105;7,49257;1,93881;svl40723f090
2021-05-12 12:30;2021-05-12;12:30:01;53,9443;5,0153;2,67184;svl407fe5d2a
2021-05-12 12:40;2021-05-12;12:40:01;51,1307;4,18039;2,05304;svl2086c246d
2021-05-12 12:50;2021-05-12;12:50:01;49,6791;4,77268;2,22173;svl20803aee6
2021-05-12 13:00;2021-05-12;13:00:01;52,6775;4,2002;2,0158;svl20860df47
2021-05-12 13:10;2021-05-12;13:10:01;49,8178;1,51464;2,39847;svl2087c47d7
2021-05-12 13:20;2021-05-12;13:20:01;57,1416;1,58234;1,88568;svl208fe0667
2021-05-12 13:30;2021-05-12;13:30:01;53,2803;7,16491;2,80532;svl20829948d
2021-05-12 13:40;2021-05-12;13:40:01;52,6985;4,45209;1,64736;svl2083b93f9
2021-05-12 13:50;2021-05-12;13:50:01;54,1092;5,98258;3,69038;svl40710239a
2021-05-12 14:00;2021-05-12;14:00:02;54,835;1,89342;2,67914;svl4079e741d
2021-05-12 14:10;2021-05-12;14:10:01;52,3626;2,6409;2,35491;svl4078de200
2021-05-12 14:20;2021-05-12;14:20:01;50,1532;1,02925;2,62345;svl407b5ce65
2021-05-12 14:30;2021-05-12;14:30:01;51,4295;6,79453;2,59597;svl407b3b2df
2021-05-12 14:40;2021-05-12;14:40:01;51,8336;2,98919;2,24456;svl208e4faa4
2021-05-12 14:50;2021-05-12;14:50:01;49,9799;3,08411;1,73468;svl407110e60
2021-05-12 15:00;2021-05-12;15:00:01;57,1419;1,0439;1,6583;svl40725c121
2021-05-12 15:10;2021-05-12;15:10:01;53,8403;2,16087;1,92139;svl208dfd9c7
